No,ARS1,ARS2,ARS3,PI1,PI2,EV1,EV2,EV3,AU1,AU2,NBE1,NBE2,SSE1,SSE2,SSE3,SSE4
53,3.786709385,2.557522395,3.265875522,3.305939203,3.011415975,4.13015496,4.080920573,3.207969981,3.270512844,2.625111049,3.766167658,2.875019754,3.35434185,4.556951889,3.687790026,4.052079107
54,3.786709385,4.090712478,3.994980856,3.305939203,3.675248568,2.710700866,4.080920573,3.912934008,3.940988425,1.829286163,3.766167658,3.538481127,2.566087219,2.625686734,3.687790026,1.862473835
55,3.084921215,1.807453339,1.745638978,1.862473835,1.686938329,3.464267155,3.365550858,3.912934008,3.270512844,2.625111049,3.766167658,2.875019754,2.566087219,2.625686734,2.906411506,2.603006451
56,3.084921215,3.362106863,3.265875522,3.943297818,3.675248568,2.710700866,3.365550858,3.207969981,3.270512844,2.625111049,3.766167658,3.538481127,3.964943232,2.625686734,2.906411506,3.363346159
57,3.786709385,4.090712478,2.549652462,3.943297818,3.011415975,2.710700866,3.365550858,3.207969981,3.270512844,2.625111049,3.766167658,3.538481127,3.964943232,3.522139765,3.687790026,4.52340168
58,4.742517933,5.007659716,5.031292573,4.940468549,4.662154078,5.055628395,5.055628395,4.813470367,4.864501695,4.422240855,4.740027963,4.549674491,4.838569838,5.252003505,5.042918694,5.220464775
59,2.334991194,2.557522395,2.549652462,3.305939203,3.011415975,3.464267155,3.365550858,3.207969981,3.270512844,2.625111049,3.008048817,2.227462986,2.566087219,3.522139765,2.906411506,3.363346159
60,2.334991194,2.557522395,2.549652462,2.658366763,2.361671592,2.710700866,2.664130887,3.207969981,3.270512844,2.625111049,3.008048817,2.875019754,3.964943232,3.522139765,2.906411506,4.052079107
61,2.334991194,3.362106863,2.549652462,3.305939203,3.011415975,2.710700866,3.365550858,3.207969981,2.478680764,2.625111049,3.008048817,2.875019754,3.35434185,4.176997227,3.687790026,4.52340168
62,3.084921215,3.362106863,3.994980856,2.658366763,2.361671592,2.710700866,2.664130887,3.207969981,3.270512844,1.829286163,2.27065657,1.584540033,3.35434185,3.522139765,2.906411506,3.363346159
63,4.742517933,5.007659716,5.031292573,4.940468549,1.686938329,5.055628395,5.055628395,4.813470367,4.864501695,3.456521246,3.008048817,2.875019754,2.566087219,2.625686734,4.269448925,1.862473835
64,3.084921215,3.362106863,3.265875522,3.943297818,3.675248568,3.464267155,3.365550858,3.207969981,3.940988425,2.625111049,3.008048817,3.538481127,3.35434185,2.625686734,3.687790026,2.603006451
65,3.084921215,3.362106863,3.265875522,3.943297818,3.011415975,4.13015496,3.365550858,3.207969981,2.478680764,2.625111049,2.27065657,2.227462986,3.35434185,3.522139765,2.906411506,2.603006451
66,3.786709385,4.090712478,3.994980856,3.305939203,3.011415975,3.464267155,3.365550858,3.207969981,2.478680764,2.625111049,2.27065657,2.227462986,2.566087219,1,1.986699061,1
67,4.742517933,4.090712478,3.994980856,4.940468549,3.675248568,4.13015496,5.055628395,3.912934008,4.864501695,3.456521246,3.008048817,3.538481127,4.838569838,4.556951889,4.269448925,4.52340168
68,3.084921215,3.362106863,3.265875522,3.943297818,3.011415975,3.464267155,2.664130887,2.439757073,1.646079633,1.829286163,2.27065657,2.227462986,2.566087219,3.522139765,2.906411506,3.363346159
69,3.786709385,4.090712478,3.265875522,3.943297818,3.675248568,4.13015496,4.080920573,3.912934008,3.940988425,3.456521246,3.766167658,3.538481127,2.566087219,2.625686734,1.986699061,2.603006451
70,3.786709385,3.362106863,3.265875522,1.862473835,1,3.464267155,4.080920573,2.439757073,2.478680764,2.625111049,1,2.227462986,1.695947364,1.745638978,1.986699061,1.862473835
